Order,Member,GRC,Date,Speech
388,Pritam Singh,Aljunied,28/2/2022,"The Workers' Party has previously raised several proposals in this House, both on taxes as well as adjustments to the reserves framework. These options do not constitute a raiding of the reserves, as the PAP enthusiastically and inaccurately portrays. We have supported the call for fiscal prudence as a principle of governance. But we also believe that the judicious use of progressive tax measures can achieve wider societal goals in Singapore."
389,Pritam Singh,Aljunied,28/2/2022,"Within this term of Parliament, we have proposed a wealth tax and raised the prospect of more progressive corporate tax policies. We have also supported the carbon tax."
390,Pritam Singh,Aljunied,28/2/2022,"The Government, for its part, has not rejected further wealth taxes outright but spoke of the difficulties of implementing some of these tax measures. These will have to be proactively explored, particularly in view of the limited impact of some measures announced in the Budget, which had been characterised as a tax on wealth."
391,Pritam Singh,Aljunied,28/2/2022,"For example, on the additional registration fee, or ARF tier, for luxury cars announced by the Minister for Finance, a senior manager of a large car dealership which includes luxury vehicles in its stable, was asked if the higher ARF would curb spending on high-end cars. He was quoted in the Business Times as saying ""It is possible, but I think there's still enough wealth going around""."
392,Pritam Singh,Aljunied,28/2/2022,"As the Government continues to explore wealth taxes, the Workers' Party's view is that a distinction needs to be made between different types of wealth taxes. We should recognise the legitimate accumulation of wealth through effort and tangible business activity, especially that which creates jobs for Singaporeans. Even as there remains scope for wealth taxes, the values of entrepreneurship and equitable reward for hard work can, nonetheless, be recognised and even promoted through tax rebates or relief for such individuals. However, wealth accumulated through capital appreciation should be dealt with differently and taxed accordingly in the name of a fairer and more inclusive society."
393,Pritam Singh,Aljunied,28/2/2022,The Workers' Party has also previously asked if we can tweak the reserves framework and the way reserves contribute to our Budget. We have proposed including a portion of land sales into recurrent revenue and also an adjustment of the NIRC allowed for recurrent spending to be raised to 60% from the current 50%. The Government has disagreed with these reasonable suggestions.
394,Pritam Singh,Aljunied,28/2/2022,"In 2001, then-Prime Minister Goh referred to the reserves as a golden goose. The Workers' Party remains of the mind that we can continue to grow the golden goose, but at a slower rate. The impending population bulge for our seniors portends stress lines for our healthcare needs and our welfare system. The Minister projected that, starting from current levels of healthcare spending and assuming increases at a similar rate in the next 10 years, the Government could be spending $27 billion on healthcare yearly by 2030, compared to $11.3 billion in 2019."
395,Pritam Singh,Aljunied,28/2/2022,"But the fact is that our population is getting older and living longer. While it is responsible to ensure that wastage is minimised as far as possible, our healthcare needs will likely be on an upward trajectory. "
396,Pritam Singh,Aljunied,28/2/2022,"For the very Singaporeans whose energies contributed to the reserves and who have played their part to fatten the golden goose, spending for them in their golden years and at their time of need should not even be a question. Moderating the growth of the reserves also improves intergenerational equity and accounts for the changing needs of Singapore and its people."
397,Pritam Singh,Aljunied,28/2/2022,"It must be noted that the Government has shown, over time, that they are of a similar mind. At the 2001 National Day Rally, then-Prime Minister Goh said that the reserves must be protected and fattened. However, changes to the reserves scheme have been implemented by subsequent PAP Governments. The 2008 change of the Net Investment Income to Net Investment Returns (NIR) with the immediate conclusion of up to 50% of NIR contributions from MAS and GIC and the inclusion of Temasek in the NIRC formula in 2015 were all deliberate moves. These changes have made the NIRC component the largest source of revenue for the yearly Budget from around $2 billion in 2006 to close to $22 billion for the upcoming financial year."
398,Pritam Singh,Aljunied,28/2/2022,"This number will only continue rising. This is despite the fact that the Government's adjustments have slowed the rate at which the reserves grow. Here, I ask that the Government not rule out changes to our Budget framework. Just as we should not kill the golden goose, we should also not fatten the golden goose at the expense of the people's well-being."
399,Pritam Singh,Aljunied,28/2/2022,"On the necessity of a GST hike, the Workers' Party has also made the point that the Government should lay out its revenue and expenditure projections for the rest of the decade. This is so that the necessity of a GST hike can be considered properly and with greater introspection. We note that the Government has resisted the publication of such revenue and expenditure projections, but the publication of such information is not unusual in other jurisdictions."
400,Pritam Singh,Aljunied,28/2/2022,"Just last week, on 23 February, the Hong Kong government issued its budget statement. At Appendix A, the Hong Kong budget includes a medium range forecast of its revenue and expenditure positions for each subsequent year up to fiscal year 2026 to 2027, with assumptions laid out."
401,Pritam Singh,Aljunied,28/2/2022,"Can the Minister tell us why MOF does not make such medium-term forecasting a part of our public-facing budgetary process? And, more specifically, does MOF have such projections at least up to five years in the future? And what is the hesitation in publishing these projections? Doing so would allow the public to have an in-depth insight as to the need to raise GST and the sustainability of public finances in the years to come."
402,Pritam Singh,Aljunied,28/2/2022,"The question of projections with respect to public finances must also be considered in the context of the absolute necessity of raising the GST at this point in time. For example, a Business Times article today advanced the view held by market watchers that Singapore could potentially make a net gain in terms of revenue from the global move to introduce a standardised minimum corporate tax rate."
403,Pritam Singh,Aljunied,28/2/2022,"Even so, it is of little doubt that the GST has been put to good use by the Government to finance spending. But after more than two decades, its drawbacks remain. The GST is a regressive tax that hits lower-income earners harder. And this fact has been recognised since the GST was introduced in the early 1990s. My colleague, Sengkang GRC Member of Parliament, Ms He Ting Ru, will speak more about the GST. "
404,Pritam Singh,Aljunied,28/2/2022,"Like now, the concerns back in the 1990s were about the average Singaporean worker who was vulnerable to increases in the prices of necessities. Today, with offset packages targeting low- and middle-income Singaporeans, it is the middle-class that is particularly anxious. In spite of the headline-grabbing GST offset package announced at this Budget, there is an anxiety as to how much prices will rise in future over the period the offset package would cover."
405,Pritam Singh,Aljunied,28/2/2022,"In addition to the concerns about spikes for specific CPI items, there are also concerns about minor price hikes across the board that will hurt cumulatively, not too different from the analogy of the frog in a pot of gradually boiling water. Should the aggregate of price rises be significant, the impact of the additional offsets may not be as optimistic as highlighted in Annex F2 of the Budget Statement for 3-room and 4-room HDB households where the enhanced Assurance Package is estimated to offset the GST hike of 11.8 and 7.9 years respectively. "
406,Pritam Singh,Aljunied,28/2/2022,"As Singaporeans well know, no offset package lasts forever. The Government expects that, in time, Singaporeans will internalise the GST hike. "
407,Pritam Singh,Aljunied,28/2/2022,"At this Budget debate, the Workers' Party will raise additional alternative proposals to raise revenue so as to stave off the GST hike. In particular, Sengkang GRC Members of Parliament, Louis Chua and Jamus Lim, would explore other levers for revenue generation. Apart from the reserves framework, the alternatives proposed are not inconsistent with the principle that recurrent expenditures should be backed by recurrent revenues."
408,Pritam Singh,Aljunied,28/2/2022,"What continues to weigh heavily on Singaporeans today is the rising cost of living, including for the middle-income or sandwiched class. "
409,Pritam Singh,Aljunied,28/2/2022,"Cost increases in electricity, gas and transport were thrust upon Singaporeans last year and over the last few months. Energy prices continue to rise. The enthusiasm with which the Government spoke of the electricity retail market in 2018 as a means to manage the cost of living has become decidedly more muted with the exit of multiple retail players. In December, the electricity tariff for households was raised by 0.6% and there was a recent revision of household refuse collection fees which took effect last month after a previous hike in 2017."
410,Pritam Singh,Aljunied,28/2/2022,"A TODAY article from late October last year quoted the Monetary Authority of Singapore (MAS) predicting that food, preschool and healthcare costs may go up this year. In view of the current economic outlook, it is safe to say that this is a foregone conclusion."
411,Pritam Singh,Aljunied,28/2/2022,"According to data released by the MAS and MTI last week, the headline consumer price index (CPI) remains at what it was last December at 4%. CPI data from last month show that utilities and other fuels rose 11.8% compared to a year earlier and transport is up 12.7% year-on-year."
412,Pritam Singh,Aljunied,28/2/2022,"Lower-income Singaporeans, working Singaporeans and middle-class Singaporeans are all being hit very, very hard."
413,Pritam Singh,Aljunied,28/2/2022,"There is also a pattern of increasing public transport fares over the last three years, as shown in information from the Public Transport Council. While adult card fares were alternatingly increased and reduced between 2014 and 2017, they were raised by six cents in 2018, a further nine cents in 2019 and then another three to four cents in 2020. While measured in cents, these increases are by no means small to many who have to incur these costs every day, not as a luxury or as discretionary spending, but as an unavoidable expense simply to get to work and back."
414,Pritam Singh,Aljunied,28/2/2022,"About three weeks ago, Comfort taxis announced an increase in fares by 8%. Just last Friday, all the other taxi companies announced that they would follow suit. All these and the other inevitable price hikes to come over the next five to 10 years will blunt the impact of the GST Assurance Package, to say nothing of the psychological impact of the package's reduced effectiveness against a backdrop of rising prices."
415,Pritam Singh,Aljunied,28/2/2022,"The Workers' Party's position on the GST notwithstanding, I welcome the announcement of the formation of a Committee Against Profiteering to address concerns that some businesses could use GST as a cover to raise prices. I would like to raise a few issues relating to the Committee."
416,Pritam Singh,Aljunied,28/2/2022,"First, in order for this Committee to be effective, the public should be clearly informed as to what evidence they would need to file a complaint with the Committee. Otherwise, it would be a case of the word of a person against that of a business."
417,Pritam Singh,Aljunied,28/2/2022,"Second, at a time when inflation due to the supply chain crunch is a real concern, some businesses may have good reason to raise prices or a legitimate reason to raise prices. For example, because of the rising price of raw materials and not under the pretext of the GST hike. This may cause misunderstanding amongst the public about resorting to the Committee to investigate the price hikes. But if rising business costs are due to supply chain woes, then prices should correct in time and even fall as the supply chain crunch eases. If they do not, then it would be legitimate for the Committee to inquire why this is the case."
418,Pritam Singh,Aljunied,28/2/2022,"Third, the Committee should look into the businesses that move to raise prices before the GST hike is introduced. It should not rule out looking into complaints of such pre-emptive price rises that try to bypass the Committee's terms of reference. SMEs, hawkers and sole proprietors should be allowed to respond to the Committee if they have been falsely or unfairly accused of raising prices."
419,Pritam Singh,Aljunied,28/2/2022,"Finally, the Committee should closely track price rises at heartland shops where many Singaporeans purchase food and essentials. Minister of State Ms Low Yen Ling has written to me to nominate one Member from the Opposition benches to sit on this Committee. I have extended this invitation to our Parliamentary colleagues from the Progress Singapore Party and Non-Constituency Member of Parliament Ms Hazel Poa has agreed to sit on the Committee."
420,Pritam Singh,Aljunied,28/2/2022,Let me now move to topics other than the GST.
421,Pritam Singh,Aljunied,28/2/2022,"The Workers' Party is of the view that the Budget is broad-based in providing assistance to individuals and businesses to address both immediate as well as short- to medium-term concerns. Specifically, it provides a useful transitional support such as the Small Business Recovery Grant to businesses in eligible sectors that have been hit hard by COVID-19. One input we have is to ask the Government to actively consider appeals from businesses that fall outside the eligibility criteria on a more flexible and case-by-case basis as far as possible."
422,Pritam Singh,Aljunied,28/2/2022,We also support CPF transition offsets to help phase in the raising of employer and employee CPF contribution rates for senior workers. This raising of rates is vitally important in supporting the retirement adequacy of senior workers.
423,Pritam Singh,Aljunied,28/2/2022,"What was not fleshed out in significant detail was the Minister's commitment that the Government intends to refine how Employment Pass applications are assessed to increase certainty and transparency for businesses. Even while it is a given that Singapore will always be open to foreign talent, we must always prioritise Singaporean talent who represent the Singapore Core. If a Singaporean can do the job or be trained to do the job, the Government should not inadvertently make it easier or more convenient to resort to hiring foreigners. I hope Minister will share more details of the Government's thinking on the new EP framework in his wrap-up speech."
424,Pritam Singh,Aljunied,28/2/2022,The Budget also renders important support to businesses to ensure that our workers at the lower end of the salary spectrum will see meaningful salary increments.
425,Pritam Singh,Aljunied,28/2/2022,"In this regard, I hope the Minister for Finance can consider moving more decisively to ensure that Singaporean workers who take home less than $1,300 can rely on the PWM Credit Scheme to raise their wages immediately. With the PWM Credit Scheme as announced by this Budget, I would argue that this can be achieved forthwith instead of waiting for all PWM sectors to be rolled out incrementally before the low-wage situation for these workers is addressed. Let me explain."
426,Pritam Singh,Aljunied,28/2/2022,"Assuming that we want to provide immediate relief to the 32,000 full-time Singaporean workers who earn less than $1,300 with a generous $400 a month wage hike for 13 months each financial year, a back-of-the-envelope calculation shows that it would require about $167 million year to significantly uplift the well-being of these lower-income workers. This sum would constitute 8% of the $2 billion set aside under the Progressive Wage Model Credit Scheme and only 9.2% of the $1.8 billion that the Government has committed each year over the next five years for this scheme. I hope the Government is persuaded to move quickly on this even as discussions on PWM sectors are ongoing. As they already earn very low salaries, these 32,000 workers can and should be supported with higher wages immediately."
427,Pritam Singh,Aljunied,28/2/2022,A second intervention I would suggest for low-income workers amongst us concerns the changes to the Workfare Income Supplement.
428,Pritam Singh,Aljunied,28/2/2022,The Finance Minister has introduced a new minimum income criteria of $500 a month. There was no such criteria in the past. The Minister has said that the policy intent of this is to encourage part-timers and casual workers to take up regular full-time work.
429,Pritam Singh,Aljunied,28/2/2022,"However, this new criteria will penalise part-timers and casual workers significantly. There are legitimate reasons why Singaporeans take up part time or casual work. Some may be caregivers who do not have the flexibility to take up the full-time work. Others may not be able to stand for eight hours a day, for example, in a food and beverage setting for various reasons, including their advanced years. For some individuals, full-time work can be gruelling; for others, retraining is easier said than done. Yet some others simply cannot find full-time work in the limited areas they are qualified for and take what part-time or casual work they can find."
430,Pritam Singh,Aljunied,28/2/2022,"According to the MOM Labour Force, Singapore 2021 data set, there were 46,600 residents who earned less than $500 a month last year. The new criteria will deny the work for Workfare Income Supplement to these workers."
431,Pritam Singh,Aljunied,28/2/2022,I would urge the Minister for Finance to remove this criteria so that our most financially vulnerable workers can benefit from Workfare.
432,Pritam Singh,Aljunied,28/2/2022,"The Workers' Party believes that the Government can move the needle for these low-income earning Singaporeans in a decisive way. It would be consistent with the philosophy of this Budget: ""Charting our way towards a fairer, more sustainable, and more inclusive society"" to alleviate the financial stress of our most vulnerable Singaporeans."
433,Pritam Singh,Aljunied,28/2/2022,"In his Budget speech, Aljunied GRC Member of Parliament, Mr Faisal Manap, will speak on other segments of Singaporeans who continue to be left behind because their plight has not been adequately addressed."
434,Pritam Singh,Aljunied,28/2/2022,"Next, the carbon tax. Singapore's net carbon emission goal, as part of our green transition, recognises the important shifts that are taking place across the globe. The Budget announcement of a carbon tax of $50 to $80 per tonne of emissions by 2030 is consistent with a commitment to mitigate the climate emergency. Hougang Single Member Constituency Member of Parliament Mr Dennis Tan will focus on Singapore's transition to the green economy in his Budget speech."
435,Pritam Singh,Aljunied,28/2/2022,"More generally, Workers' Party Members of Parliament have made several interventions and suggestions during the debate on the climate Motion in this House last month, covering subjects such as greenwashing, just transition and accelerating EV adoption, amongst others."
436,Pritam Singh,Aljunied,28/2/2022,"I note the Finance Minister's commitment to provide U-save rebates to the cushion the impact of the carbon tax on households from 2023. Going by the Government's own calculations taken in a linear way, it would follow that a carbon tax of about $ 75 per tonne could potentially increase utility bills by $ 2 a month. However, unlike the new tiers for personal income tax, the upper end property taxes and ARF hikes for luxury cars announced at the Budget, the Minister did not reveal the absolute quantum of revenue the carbon tax is projected to bring in up to 2030."
437,Pritam Singh,Aljunied,28/2/2022,"The Government should reveal these figures. This is not only for the purpose of showing how the carbon tax revenue would be utilised to support decarbonisation, this information will allow meaningful debate to take place on the funding for these decarbonisation measures and whether and how cost of living pressures for the average Singaporean could be further alleviated through the carbon tax."
438,Pritam Singh,Aljunied,28/2/2022,"Before concluding, I am reminded that in Singapore ""A""s are not usually given for effort but for outcomes. With this Budget position as a first step in renewing and strengthening Singapore's social compact, the Government should reveal how it reports on initiatives that were previously announced and whether they met their goals. The new social compact ought to require a report card that goes into far greater detail than the bi-yearly Singapore Public Sector Outcomes Review."
439,Pritam Singh,Aljunied,28/2/2022,"Let me explain using the Industry Transformation Maps or ITMs as an example. A transition is taking place from the original ITM to ITM 2.0, which is now dubbed the ITM 2025. I wish to ask if there is it is a report card of what has been achieved by the initial ITM, especially for deliverables where Singaporean workers are supposed to benefit."
440,Pritam Singh,Aljunied,28/2/2022,"In previous exchanges in this House, notably in 2020, we received assurances that Singaporeans are benefiting and are prioritised in such efforts to generate quality jobs so there was no need to worry. To-date, however, we do not have a detailed data set, sector-by-sector of how many jobs were generated by ITM 1.0 since its inception in 2016, 2017 and how many of those jobs went to Singaporeans and at what wage levels?"
441,Pritam Singh,Aljunied,28/2/2022,"The ITM 1.0 roadmap set out to develop new and redesigned jobs with better wages provide more overseas opportunities and more strongly support Singaporean workers' upgrading and skills deepening. Without numbers, however, it is hard to tell whether these broad and lofty goals were achieved. The overall picture maybe rosy with rising wages and low unemployment maintained. But the precise deliverables of the ITM have to be followed up upon, to know whether outcomes have been meaningful or whether alternative approaches to improve outcomes should be considered."
442,Pritam Singh,Aljunied,28/2/2022,"A significant goal of the ITM was to further the interests of Singaporean workers. To this end, the timely reporting of ITM 2025 outcomes should be made a key objective of this Government. When I asked for specific figures for the first ITM outcomes and what it has achieved for Singaporean workers, MOM stated that more time was needed before we could obtain the full data."
443,Pritam Singh,Aljunied,28/2/2022,"Surely, enough time has passed for such data to be available, as the planning for ITM 2025 is well underway? If such data is released, it can ameliorate the persistent angst surrounding competition between Singaporeans and foreigners over job opportunities."
444,Pritam Singh,Aljunied,28/2/2022,"Further, making such information accessible will help Singaporeans better understand the overall economic landscape so that they can develop their skills in specific industries. This is really about empowering the Singaporean worker to make informed choices surrounding their economic future in line with the nation's. "
445,Pritam Singh,Aljunied,28/2/2022,"In this regard, the announcement of further adjustments to foreign manpower policies announced by the Finance Minister is instructive. The value proposition for businesses to hire Singaporean workers ought to become more compelling, given the anticipated increases of S Pass qualifying salaries and separately, foreign worker levy hikes announced in the Budget."
446,Pritam Singh,Aljunied,28/2/2022,"With the minimum qualifying salary for new S Pass holders increasing from $2,500 to $3,000 this September and further increases already forecasted for September 2024 and 2025, it would be useful for the ITM framework to proactively track, disclose and identify which are the ITM sectors are more reliant on S Pass holders and where there could be opportunities for Singaporean workers. Businesses will also benefit from this information as they can be incentivised to redesign jobs to attract Singaporeans."
447,Pritam Singh,Aljunied,28/2/2022,"The same expectation should be set aside for the large taxpayers' dollars set aside for national plans like the Research, Innovation and Enterprise 2025 Plan where $25 billion has been allocated from 2021 to 2025. The outcomes of such initiatives should be a major feature of the new post-pandemic social compact where the Government seeks to renew between citizens and the Government. My colleague, Aljunied Member of Parliament Mr Leon Perera will explore the national goals the Government should focus on aggressively, including poverty alleviation, inequality and social mobility. Ready access to data on outcomes of Government initiatives, including multi-year ones will greatly support all three prongs that Mr Perera will advance. "
448,Pritam Singh,Aljunied,28/2/2022,"To conclude, COVID-19 was and remains a generational crisis. But it has also proven to be a priceless opportunity to reflect on the robustness of our social compact and the live reality of Singaporeans, particularly at the lower- and lower to middle-income levels. It is also an opportunity to reflect on our values as a people. How much do we value the efforts and contributions of those around us, regardless of social economic class or nationality? How does the Singapore system recognise the effort and labour of those who work with their hands like our conservancy and landscape workers, or those who invest their lives in looking after the needs of others or nurturing future generations of Singaporeans, such as our teachers and our nurses? What about our artists and sporting talents? And what about the foreign workers in our midst? Their living and working conditions must be a priority for not just their well-being, but our well-being too. I say for our well-being too because caring for others establishes the standards we set for ourselves on the type of people we wish to be."
449,Pritam Singh,Aljunied,28/2/2022,"While COVID-19 has been debilitating for the economy and for many families, from a community perspective, it reminded us of the nurse, the teacher, the cleaner, the security guard, the bus captain and so many others who continue working to keep Singapore on an even keel. The efforts of these Singaporeans make my colleagues in the Workers' Party and I proud to the Singaporeans. These times have shown the resilience of our people, a subject my colleague, Aljunied GRC Member of Parliament, Mr Gerald Giam will peg his Budget speech upon."
450,Pritam Singh,Aljunied,28/2/2022,"The Workers' Party notes the broad thrust of the Budget and supports the call of greater fairness, sustainability and a more inclusive society, a philosophy that comes with much promise of the future. However, the Workers' Party will object to the Budget as we disagree with the decision to raise the GST. "
451,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Mr Speaker, Sir, following the Budget Statement on 18 of February, we have watched, with grave concerns the tragic developments in Ukraine. I echo the statement by the Foreign Affairs Minister that we are shocked and appalled with the blatant aggression and are saddened with the loss of lives and destruction there. It once again reminded us of the importance of own ability and our will to defend our sovereignty and our independence. We must expect no one else but ourselves to defend what is ours."
452,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Sir, the conflict may be half the world away from us but its implications and its ramifications will impact us in many ways, amongst others, is effect on the global economic recovery as well as the elevated oil and gas prices. Can I ask the Finance Minister for an update, notwithstanding what the Foreign Affairs Minister's Statement, as to whether the Ukraine situations will have a bearing on the Budget that he delivered on 18 February and also, what other implication or impact will there be for our economy?"
453,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Sir, now my take on the Budget."
454,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Social compact is not new concept to us. It has always been the underpinning core values of the Government, manifested in many of our policy formulations and it is a vision that galvanises us as a nation and unites us in our commitment to care for each other. Yet after, listening to the Finance Minister's Budget Statement speech, the meaning of social compact took on a refreshed and more tangible feel and operationalised versions of sorts or more realisable."
455,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Over the last decade, countries and democracies around the world including Singapore, have been grappling with three deep-seated issues. Firstly, the widening income and wealth inequality brought about by globalisation and the proliferation of knowledge-based economy. Secondly, the stagnation of very slow wage growth for our lower-wage workers. Thirdly, climate change crisis. How do we manage the pace and the trade-off to pivot to a low or net zero carbon society?"
456,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Budget 2022 will stand out for how we have made decisive and bold moves to tackle these issues head-on and to build a fair, inclusive and sustainable society. "
457,Liang Eng Hwa,Bukit Panjang,28/2/2022,Let me start with the tax changes announced. 
458,Liang Eng Hwa,Bukit Panjang,28/2/2022,"In the Budget, we saw significant increases in the income tax rate as well as the wealth taxes, property tax, luxuries car in the ARF. These increases will bring in additional revenue of $600 million for the Government, not a quite a needle-moving number that can pay for the projected rise in expenditure due to its narrow base. But it helps to steepen the overall progressivity of our tax structure and towards a fairer system."
459,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Corporate tax changes are also expected to come next. The two-percentage point increase in GST will happen in 2023 and 2024, in one-percentage point step each. And coupled with this increase will be the massive upsized $6.6 billion Assurance Package to cushion the impact of the GST increase."
460,Liang Eng Hwa,Bukit Panjang,28/2/2022,"The GST increase and the upsized Assurance Package put together, actually further enhances the overall progressivity of our tax structure. And this is because the Assurance Package will have more than adequate payouts and rebates to cover at least five years of additional GST expenses for the majority of Singaporean households and about 10 years for the lower-income households. The existing permanent GST Voucher scheme will also be enhanced to provide continuing offsets for the GST expenses of the lower- to middle-income household and the retirees' household."
461,Liang Eng Hwa,Bukit Panjang,28/2/2022,"On the other hand, the higher income and the wealthier will pay more GST, especially with the two-percentage point increase, as they tend to be higher spenders, bigger consumers and hence, will contribute more to GST."
462,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Sir, over the last decade, we have been adding more social support features into our social security structure, which has helped improve the progressivity of the overall system, such as the Workfare for the low-wage workers which, in essence is a negative tax; Silver Support Scheme, which targets Singaporeans in the lower 20% in terms of lifelong long income; higher permanent GST offsets targeted at lower-incomes, seniors and smaller housing types; means-tested subsidies in public housing, healthcare, education, tilted in favour of lower-income and that majority of Singaporeans do not not pay income taxes. "
463,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Taken together, it attested to the system of social compact that we have always wanted where the better-off contribute more and those with less contribute less and will receive more benefits and support to help them cope with life."
464,Liang Eng Hwa,Bukit Panjang,28/2/2022,"In recent years, as income and wealth disparities continue to widen, the view that the better-off should contribute more in taxes has gained traction and it is heartening that in Singapore, we are also hearing calls from the high-income earners and those that are wealthy themselves. This reflects our values and mutual responsibility amongst ourselves as a society and as a nation."
465,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Of course, there is often this argument that said rising income or wealth taxes may diminish our competitiveness, or that wealth is mobile and can be easily moved to a jurisdiction with no or low taxes. Yes, we have to be watchful of this possibility but we should also not underprice ourselves."
466,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Singapore has its very compelling proposition as a triple-A rated global hub, excellent infrastructures, deep and diverse talent pool, trusted and enforceable legal and regulatory structure, strong and stable Government, amongst others. We are rated among the best place to live in the world and we are a nation that is always passionate about excelling ourselves and constantly charting ahead and investing for a better future. And this is the Singapore premium."
467,Liang Eng Hwa,Bukit Panjang,28/2/2022,We cannot just count on low taxes or lower costs as a way to attract Investments and talent. It is not sustainable. The significant moves on tax structure in Budget 2022 demonstrates our confidence and also our self-assuredness as to what Singapore can offer. We have to keep working on strengthening each of these fundamental propositions and not only safeguard but also keep growing the value of this premium.
468,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Sir, the other major move in this year's Budget is in the uplifting of income for the lower-wage workers and to tackle inequality. In a globally connected and knowledge-driven world, those equipped with in-demand skills and know-how tend to be duly compensated for their expertise. Salaries of the top earners have seen their income rise at much faster pace. We are not averse to that. On the other hand, the incomes of our lower-wage workers continue to stay stagnant or not keeping up with the rise in cost to live a better life. We are concerned with this widening income inequality and that is why we have Workfare and other skills upgrading programmes, amongst others, to intervene and uplift the wages of low-income Singaporeans."
469,Liang Eng Hwa,Bukit Panjang,28/2/2022,"In this Budget, we saw significant expansions to the Progressive Wage Model (PWM). It will be extended to more sectors with an aim to cover 94% of our full-time lower-wage workers and through an accelerated pace of implementation. The Government will co-fund the wage increase of low-wage workers through the progressive wage credit scheme (PWCS). Businesses with workers earning up to $2,500 per month will be assisted with co-funding of 50% in the first two years and 30% in the next two years. Those earning between $2,500 and $3,000 will also receive support but at a lower co-funding ratios."
470,Liang Eng Hwa,Bukit Panjang,28/2/2022,"In a related move, companies who employ foreign workers will now be required to pay all their local employees at least the local qualifying salary of $1,400 per month. And to complement the Progressive Wages move, the Workfare Income Supplement (WIS) will also be significantly enhanced. The qualifying income gap will be increased to $2,500 and also extending to younger workers, aged 30, as well as increased payouts amongst the various WIS' enhancements. These various measures amounted to a very substantial package to uplift the wages of the lower-income workers about $1.8 billion per year over the next five years or totalling $9 billion for both PWCS and enhanced Workfare. "
471,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Of course, fiscal interventions alone cannot be the only way to uplift wages. Businesses and consumers will also have to contribute their share to help raise the income of our lower-wage workers. And we should continue to encourage and support our lower-wage workers to upskill, so that they can also move up the wage ladder. Sir, this is a realisable step to strengthen our social compact and to tackle inequality."
472,Liang Eng Hwa,Bukit Panjang,28/2/2022,"On decarbonising Singapore, I applaud the bold moves by the Government. The announced carbon tax increases are steep, increasing, five-folds, from $ 5 to $25 per tonne in 2024 and thereafter, by ten-fold and more by around 2030. It is thick enough to bite or hurt and can nudge and change behaviours and business practices. The sharp carbon tax increases demonstrates the Government's resolve to achieve net zero emission by around mid-century. "
473,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Since our founding, we have always kept long-term environmental sustainability in mind and, in fact, have been ahead of the curve. In the 1970s, we have already scaled up the greening of our island by sustained tree-planting programmes and safeguarding our nature reserves. We mounted ambitious efforts to clean up our rivers, build comprehensive sewage, waste infrastructure, amongst others. "
474,Liang Eng Hwa,Bukit Panjang,28/2/2022,"But this coming series of carbon tax increases will be our most ambitious move. It will have significant cost implications to businesses and households. Hence, without transitory support, some businesses may not be able to cope and some may exit. So, I welcome the clarification by the Finance Minister that the Government does not expect to derive additional revenue from the carbon tax levy. The carbon tax raise will be used to cushion the impact to households and businesses, as well as make decisive investments in new, low-carbon, more energy efficient solutions."
475,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Sir, although Singapore accounts for around 0.11% of the global carbon emissions, we strongly believe in contributing to the global efforts and see it as our moral obligations as citizens of the world. We should leverage on this major decarbonisation effort to catalyse the development of the green economy and to entrench ourselves in this global green transition and to create jobs, create opportunities."
476,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Finally, Sir, I would like to touch on the current waves of cost increases. I have raised this concern in the earlier Parliament Sittings, including whether we can delay the increase of GST, given the cost pressures at the moment. I thank the Finance Minister for listening to the feedback from Singaporeans and on the ground, firstly to delay the GST to start from 2023 and in two staggered one percentage point steps; and secondly, to introduce the $560 million Household Support Package to help Singaporeans to cope with their daily expenses arising from the current cost pressures. "
477,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Sir, allow me to continue in Mandarin."
478,Liang Eng Hwa,Bukit Panjang,28/2/2022,"(In Mandarin): Mr Speaker, the recent spate of price increases is a cause for great concern for Singaporeans. Whether it is electricity, food or transport, we can feel the overall trend of inflation and the pressure of rising cost of living."
479,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Most of the goods we consume are imported, so any rise in international inflation, especially energy prices, will have a direct impact on domestic consumer prices."
480,Liang Eng Hwa,Bukit Panjang,28/2/2022,"While we have comprehensive measures to cope with the inflation, such as using a strong Singapore dollar to offset rising prices of imported goods, expanding and diversifying our sources of imports, and a slew of packages to help the low-income group, they do not fully offset external inflationary pressures."
481,Liang Eng Hwa,Bukit Panjang,28/2/2022,"Fortunately, in this year's Budget, the Finance Minister has added a $560 million Household Support Package to help Singaporeans cope with rising cost of living."
